title,vote_average,vote_count,runtime,budget,popularity,imdb_rating,imdb_votes,release_year,release_month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Outros,Romance,Science Fiction,Thriller,War,Western,20th Century Fox,Columbia Pictures,Goldwyn,Mayer,Metro,Paramount Pictures,RKO Radio Pictures,Universal Pictures,Walt Disney Productions,Warner Bros. Pictures,popularity_per_budget,vote_weighted,runtime_per_budget,vote_popularity_weighted,budget_log,vote_count_log,continent_Africa,continent_America_do_Norte,continent_Asia,continent_Europa,continent_Outros,cluster,pca_0,pca_1,pca_2
The Ambushers,5.1,3.6109179126442243,102.0,15.201805169084134,0.9342,5.3,2485.0,1967,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0576602415749707,18.415681354485542,6.295594776971752,4.764419999999999,2.7851226662208344,1.5284269505599697,False,True,False,False,False,1,-1.9368416369492036,-0.7453466237687153,-0.6220918227022976
Stricken,6.028,4.007333185232471,105.0,15.201805169084134,5.866,6.8,5615.0,2009,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362058421193297,24.156204440581334,6.480759329235627,35.360248,2.7851226662208344,1.6109034750189168,False,False,False,True,False,4,-0.6960563869070926,-0.08256560469711094,1.8182332064601776
RocketMan,5.2,4.882801922586371,95.0,16.588099342704055,1.6558,5.9,10869.0,1997,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09414320261312735,25.390569997449127,5.401379543572351,8.61016,2.8672224996255626,1.7720331658588133,False,True,False,False,False,2,-1.1501284494467723,0.5549494585007727,-0.6685939577907952
Metropia,6.1,5.209486152841421,86.0,15.437021497232545,0.5637,6.2,8261.0,2009,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03429453445047259,31.77786553233267,5.232091471954307,3.4385699999999995,2.7995361990797445,1.8260781474077188,False,True,False,False,False,2,-1.235517375131629,0.5592580511760381,-0.8913555322461542
The Agony and the Ecstasy,7.1,4.941642422609304,138.0,16.118095750958314,1.0549,7.2,8521.0,1965,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061624845154925834,35.085661200526054,8.061644356223116,7.489789999999999,2.840136135027038,1.781985597277665,False,True,False,False,False,1,-1.1206320000347465,-2.094232299888992,-0.510929183292094
Time Bandits,6.6,6.954638864880987,116.0,15.424948670398354,3.3591,6.9,72041.0,1981,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20451205464367103,45.90061650821451,7.062426941343169,22.17006,2.7988014392758886,2.0737552635098595,False,True,False,False,False,0,0.5294898491124005,-1.1520210966625095,-0.008854084676030716
A New Leaf,7.3,5.14166355650266,102.0,15.201805169084134,2.5521,7.3,8209.0,1971,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1575194846108785,37.53414396246942,6.295594776971752,18.630329999999997,2.7851226662208344,1.8150956430032537,False,True,False,False,False,1,-0.799515071451198,-1.1412832815442004,-0.00029068254402361826
Like Father Like Son,5.652,4.9344739331306915,96.0,16.166885910365842,1.3757,5.2,6699.0,1987,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08013684061180333,27.88964667005467,5.5921615895421395,7.7754563999999995,2.842982290397648,1.780778386075876,False,True,False,False,False,2,-1.3335156015696645,0.3367531833549319,-0.7213659990979845
Heaven's Prisoners,5.2,4.406719247264253,132.0,17.034386422832473,1.8485,5.8,6028.0,1996,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10249863547670814,22.91494008577412,7.319350761658358,9.6122,2.8922802923091946,1.6876424851132221,False,True,False,False,False,5,-1.311543575283521,-0.22222903594644594,-0.2406837057850192
Big Bully,4.5,4.30406509320417,90.0,16.52356082573315,5.472,4.8,5742.0,1996,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3122653012374306,19.368292919418767,5.135942454563003,24.624000000000002,2.8635463083350072,1.6684735252826461,False,True,False,False,False,2,-0.9825720125872627,1.2470966095407399,0.7216822089267243
