imdb_rating,imdb_votes,release_year,release_month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Outros,Romance,Science Fiction,Thriller,War,Western,20th Century Fox,Columbia Pictures,Goldwyn,Mayer,Metro,Paramount Pictures,RKO Radio Pictures,Universal Pictures,Walt Disney Productions,Warner Bros. Pictures,popularity_per_budget,vote_weighted,runtime_per_budget,vote_popularity_weighted,budget_log,vote_count_log,continent_Africa,continent_America_do_Norte,continent_Asia,continent_Europa,continent_Outros
7.0,14251.0,2000,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07824232025095994,30.94972578013713,7.964625422371698,7.30296,2.6956747101603242,1.777094949793928,False,False,False,False,True
7.6,234213.0,2005,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20379419659705997,61.65195614385836,7.07618738184236,26.426880000000004,2.8635463083350072,2.2333792086263604,False,True,False,False,False
7.8,344609.0,1987,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2986128761875663,67.2711461229954,6.5985056108889735,41.773772099999995,2.8922802923091946,2.2692676632669726,False,True,False,False,False
6.2,38003.0,1978,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2224073158758825,45.38334643847906,8.147240299610504,23.78244,2.7851226662208344,2.063853757456126,False,True,False,False,False
7.7,342251.0,2000,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2521411451571513,61.175576736017845,5.920234915146735,33.3488578,2.894452704740662,2.2364029039973454,False,True,False,False,False
8.0,719062.0,1993,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.35401872468591533,68.71523692334269,5.772572479178161,47.161877399999995,2.8620026987310574,2.305067390726117,False,True,False,False,False
7.3,62303.0,1931,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3226807002467752,51.08573225161017,5.37014996475011,31.819154,2.6232092586766624,2.0966509811308525,False,True,False,False,False
7.4,65033.0,2004,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11772335115328579,51.03553805400807,6.392714041733041,14.30864,2.7988014392758886,2.0664442328678336,False,False,False,True,False
7.7,402570.0,2005,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4843488546868865,69.2566263639297,7.677073435143042,65.94198,2.859601388546752,2.2904168252024366,False,True,False,False,False
8.1,70208.0,1930,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.22293791084458675,51.828839373712036,8.757898789676878,26.06912,2.720393116237607,2.045240561621599,False,True,False,False,False
7.9,81168.0,1987,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16617295663525886,56.1934918225332,8.136385299255272,20.3227908,2.755684248962421,2.107590181611361,False,False,False,True,False
7.9,288698.0,2000,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3834044894697532,60.2679361544456,6.799358427625451,50.323204200000006,2.8706634839297305,2.2086915477170286,False,False,True,False,False
7.4,13438.0,2005,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10283745988467885,37.39633976375367,7.001543950469521,11.8237,2.7988014392758886,1.8472468792313919,False,True,False,False,False
8.0,216750.0,1988,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5123527320080092,66.66669232517191,7.489742265722741,67.3595325,2.8067471791188643,2.240204404259173,False,False,True,False,False
6.9,90051.0,1982,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21998313312136214,49.19947113016875,5.5489991012798265,25.4646078,2.85073062208483,2.1226305630422626,False,True,False,False,False
6.4,99879.0,1979,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26505803551218277,48.465132109323946,7.043124270202017,31.926679999999998,2.923145463095171,2.1381592509249066,False,True,False,False,False
7.7,512290.0,2003,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3372525433416799,65.96536464290558,6.295594776971752,40.3523785,2.7851226662208344,2.295796559866714,False,True,False,False,False
7.7,132953.0,1982,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.19959056142415876,56.94274596389847,6.4738322848264644,25.897499999999997,2.85073062208483,2.1508741495820525,False,True,False,False,False
6.6,88720.0,1984,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.11186112945138726,47.83543103966778,5.930232551951764,13.071959999999999,2.8738969217360877,2.1099455986981406,False,True,False,False,False
6.5,428014.0,2004,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.280088262943378,58.52177880604467,6.405004000571193,35.880136799999995,2.9712341773525197,2.294105900602619,False,True,False,False,False
7.5,199237.0,1961,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3086741172904969,63.52230069543592,7.310033667299659,36.9056,2.755684248962421,2.2362526928760125,False,True,False,False,False
7.4,197837.0,2001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16334067047310294,56.26076886002009,6.421675607500035,21.97656,2.927812661081278,2.176340875723372,False,True,False,False,False
7.3,94366.0,1986,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1973680558962367,52.055176285057904,6.606930665462676,25.0275,2.8825654255757986,2.1200693137072997,False,True,False,False,False
6.3,192580.0,1990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5454236076808063,51.18946250939162,5.878875999713279,62.93499189999999,2.910765639997766,2.2137419168554895,False,True,False,False,False
5.5,66259.0,1989,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.15461430721884473,40.437138621771105,5.78854821643681,16.13841,2.9075575737885786,2.091152060849253,False,True,False,False,False
7.2,39071.0,1954,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15869760401125088,47.99070939246576,7.732139840953297,18.3478574,2.7988014392758886,2.0564070955388662,False,True,False,False,False
7.2,83291.0,1991,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.10607714330125963,50.16926513838554,6.073540372235352,13.4484,2.896538673379569,2.1001062821653376,False,True,False,False,False
7.6,491482.0,2004,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5895718421857317,67.98333590089511,6.867658838212948,65.6187083,2.7079057205381436,2.318550959689458,False,True,False,False,False
7.5,94180.0,1991,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1016863560924903,52.7513257737349,7.669408723158802,13.356810000000001,2.8900141622986397,2.107325277958658,False,True,False,False,False
6.2,35438.0,1994,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.11622399778317548,39.33205869158325,6.6675060363001295,13.07704,2.8985446631912657,1.9938673724294378,False,True,False,False,False
6.4,112661.0,2005,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1435913352084665,46.024510931462736,6.6675219134744665,17.3913894,2.954782000240642,2.115659724880597,False,True,False,False,False
7.6,604461.0,2002,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37933727549117974,66.90596161460888,7.458662274896068,54.195200500000006,2.9673576640036337,2.312940348995887,False,True,False,False,False
6.0,26624.0,2006,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07004992797178347,33.47435851415409,5.907693441318613,7.427479999999999,2.905875752542279,1.9127139332707952,False,True,False,False,False
6.1,17233.0,1989,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08035035164860707,34.53445328152147,6.021459206280506,8.0064,2.809840562969964,1.9103928415548865,False,True,False,False,False
7.7,333325.0,2006,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.2362662418802936,62.369286806781545,6.073540372235352,32.0162262,2.896538673379569,2.2338683720379846,False,True,False,False,False
8.0,809019.0,2005,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2941734360923314,67.3793040549502,6.701112533379092,40.619397,2.918008003234778,2.3055464510268724,False,True,False,False,False
6.5,175240.0,2014,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3654680007912159,52.91554438261192,5.371276920074929,44.3548182,2.943907145307067,2.227828909829929,False,True,False,False,False
6.9,2849.0,2001,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08488057964139213,27.61101247171565,6.660750253174094,9.18544,2.767206965277634,1.6214540309583532,False,False,False,True,False
7.7,123138.0,1986,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34072857107304566,60.27430057280484,7.34219268336885,45.24675,2.8738969217360877,2.201280054948637,False,True,False,False,False
6.6,89424.0,1994,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.13196700986195994,46.91814944962215,6.34039920903799,15.828800000000001,2.9152322016057073,2.106348388653089,False,True,False,False,False
8.1,47420.0,1942,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11410315116343514,51.94618963791507,6.600953640612446,13.3960564,2.7079057205381436,2.0328669068456406,False,True,False,False,False
7.6,135341.0,1996,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.23465803140773692,54.69038976797872,5.953609482573439,31.898125,2.925532529957238,2.1401934641296565,False,True,False,False,False
6.4,81512.0,1998,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1739665856329309,45.6069585491144,5.350397025345682,21.2256,2.94780204478482,2.0950795375151374,False,True,False,False,False
6.4,86152.0,2002,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20004383812691276,45.88572384116678,6.134367458687184,23.83164,2.939683221977514,2.114259334453176,False,True,False,False,False
7.2,124414.0,1973,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1688810575469403,54.48978423128697,7.859873118536845,16.9335,2.6477597376813042,2.160401232337979,False,True,False,False,False
8.1,384689.0,2004,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.20545645859274866,61.493469424562,6.844777392544765,27.9664,2.8723046085619597,2.1956861568331956,False,True,False,False,False
7.9,77069.0,1944,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.10906292420696996,52.228173570176295,7.904081228609786,12.37432,2.7033053871738937,2.0633284326534964,False,True,False,False,False
8.3,361485.0,1959,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0.3095210655642936,66.8053299241674,8.39412636929567,40.1184,2.7851226662208344,2.235447596432718,False,True,False,False,False
6.2,221855.0,2006,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3496533777517235,54.057959115627504,6.309112974435482,38.306560000000005,2.840136135027038,2.24565024247197,False,True,False,False,False
6.6,288661.0,2005,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36622462361923425,56.882919844255646,5.740101120180127,39.15516650000001,2.7851226662208344,2.2638370160928565,False,True,False,False,False
8.0,25143.0,1974,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10416978611690612,47.05807253003065,7.279673962182349,10.380239999999999,2.5475134173620706,1.9506256168552831,False,False,False,True,False
6.2,504251.0,2008,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3621755036350138,54.449655092703665,6.089080333972532,43.6333345,2.997523986898969,2.308102111194085,False,True,False,False,False
7.6,110506.0,2006,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13164887217627635,56.15800321077333,6.964939676152961,17.15325,2.8549015993999,2.1386220343537268,False,False,False,True,False
7.6,101069.0,1955,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2250578363118441,55.69162052687222,7.292567675915079,25.746809600000002,2.722674498387897,2.129390790289494,False,True,False,False,False
8.1,159556.0,1940,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4599829511363612,59.29277834337933,8.62721042917302,54.7087509,2.712613238729441,2.14148530261072,False,True,False,False,False
7.5,106139.0,1999,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15167656439528712,53.40365020164999,7.608653062383149,17.407020000000003,2.7413984640023243,2.1061698231712445,False,True,False,False,False
7.0,104945.0,1983,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35172720655350553,52.366393300162706,5.49126499626792,43.4046681,2.840136135027038,2.111912379305788,False,True,False,False,False
7.8,56001.0,1935,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5624888983153186,51.96403363623499,5.402106126496471,58.56975,2.6306992125801747,2.0704686325376875,False,True,False,False,False
6.9,136709.0,2005,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12016531648330109,46.35848303785909,6.834856252160744,14.402560000000001,2.9299948251044747,2.109426584944646,False,True,False,False,False
7.1,40012.0,1983,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13198898013369934,45.897448493106296,5.49126499626792,15.8158,2.840136135027038,2.0224449560012157,False,True,False,False,False
8.1,466411.0,1986,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38113750867002805,68.4451866525869,5.267845615460142,50.5807015,2.8270148923814977,2.2735251128784832,False,True,False,False,False
7.2,43945.0,1994,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10442296953513876,41.751214955138536,6.660750253174094,11.300239999999999,2.767206965277634,1.965696607064784,False,True,False,False,False
6.3,15034.0,2003,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09606036323821628,29.98880717122128,5.578278976680683,9.288699999999999,2.8137191914516193,1.8197772781208725,False,True,False,False,False
8.2,296169.0,1959,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28482542093511487,66.33737691169864,7.685215382966718,36.62414999999999,2.764722641724666,2.2180941318565632,False,True,False,False,False
7.2,260949.0,1994,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24598907998268782,57.66981928879771,6.433367636241309,31.8630378,2.9091864851789153,2.2155245804618824,False,True,False,False,False
7.4,195497.0,2000,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1512293002714473,54.25125940725568,6.203096638960958,19.5956037,2.9023391934519456,2.1549034755746628,False,True,False,False,False
7.9,93855.0,1933,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.31284472698482346,55.654159597220094,7.213198156879715,34.267028200000006,2.6684784738109,2.119360028471374,False,True,False,False,False
7.1,196379.0,2002,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10405631077740678,51.75675254346459,5.576614341779733,12.62682,2.896538673379569,2.1661796816827423,False,True,False,False,False
