title,vote_average,vote_count,runtime,budget,popularity,imdb_rating,imdb_votes,release_year,release_month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,20th Century Fox,Columbia Pictures,DreamWorks Animation,Globus Productions,Goldwyn,Marvel Studios,Mayer,Metro,New Line Cinema,Orion Pictures,Outros,Paramount Pictures,RKO Radio Pictures,Rhône,The Asylum,"The Cannon Group, Golan",TriStar Pictures,Universal Pictures,Walt Disney Productions,Warner Bros. Pictures,popularity_per_budget,vote_weighted,runtime_per_budget,vote_popularity_weighted,budget_log,vote_count_log,continent_Africa,continent_America_do_Norte,continent_Asia,continent_Europa,continent_Outros,cluster,pca_0,pca_1,pca_2
London Has Fallen,6.214,8.484049972822984,99.0,17.909855136853043,5.4679,5.9,176083.0,2016,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.28915610195996255,52.71988653112202,5.235365331120959,33.9775306,2.939683221977514,2.2496114373608274,False,True,False,False,False,22,3.0875945529241475,-1.5647444142420395,-0.3253262340621118
The BFG,6.283,8.144388865547622,117.0,18.757152987716434,5.5194,6.3,96802.0,2016,6,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.27936211272097566,51.17119524223571,5.921905857222552,34.6783902,2.9835156023702574,2.213140452441683,False,True,False,False,False,22,2.3573661299048743,-1.2641254216574498,-0.2610158477632581
White God,6.7,5.834810737062605,121.0,14.603968372873895,1.1254,6.8,17482.0,2014,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0721226788665124,39.093231938319455,7.754437660252355,7.54018,2.747525264782185,1.9220287795310242,False,False,False,True,False,6,-1.0543144107828195,1.5862173235709331,-0.5240965265562875
Elsa & Fred,6.0,4.477336814478207,97.0,16.118095750958314,2.2442,6.5,3869.0,2014,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1311010309002603,26.86402088686924,5.666518134446683,13.465200000000001,2.840136135027038,1.700619000072578,False,True,False,False,False,12,-1.282664250192834,-0.605596557447649,-0.147851880188675
Captain Underpants: The First Epic Movie,6.242,7.130098510125578,88.0,17.453096744006448,3.3719,6.2,34835.0,2017,6,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.18272813754662565,44.506074900203856,4.768847268336266,21.0473998,2.9152322016057073,2.0955730403529254,False,True,False,False,False,27,0.4633701295601148,-1.8325604954665837,-0.4369732049095545
The Legend of the Guanajuato Mummies,8.0,4.983606621708336,84.0,14.077875591662238,3.534,5.7,457.0,2014,10,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.23438315155977482,39.86885297366669,5.571076607532849,28.272,2.7132284767714037,1.7890235001604364,False,False,False,True,False,24,-0.8344819500871787,-0.02669710352839466,1.3081888129912291
Pacific Rim: Uprising,6.132,8.529516941105069,111.0,18.826145858727198,6.8088,5.6,133259.0,2018,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3434252954919556,52.302997882856275,5.598667577195258,41.751561599999995,2.987001564525397,2.2543940281448047,False,True,False,False,False,22,3.0933081646369427,-1.8764985083126895,0.15134846544163477
Hot Pursuit,5.732,7.398174092970465,87.0,17.370858648025116,3.3542,5.2,55877.0,2015,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.18258264702072483,42.40633390090671,4.735761221991253,19.2262744,2.910765639997766,2.128014312336542,False,True,False,False,False,27,0.49144663030978786,-2.1959007938760022,-0.5186227173776519
Samba,6.339,6.858565034791365,118.0,16.811242881518265,3.4661,6.7,17681.0,2014,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1946018042119104,43.47644375554246,6.625028965409372,21.971607900000002,2.879829880465673,2.0616040242258244,False,False,False,True,False,32,0.16584389046182668,0.09943934281458425,-0.18104632352515113
The Canterville Ghost,6.7,3.6635616461296463,89.0,16.118095750958314,9.2801,5.9,1564.0,2023,9,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.542122215870914,24.54586302906863,5.199176432636647,62.176669999999994,2.840136135027038,1.5397794579522743,False,True,False,False,False,1,0.39895037570613834,-1.6884059559882314,3.5833355854761595
Alleluia,6.0,4.634728988229636,93.0,15.116605354316516,9.73,6.2,3501.0,2014,11,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6037251509291324,27.808373929377815,5.770445944132508,58.38,2.7798501289416313,1.7289490519659823,False,False,False,True,False,20,0.39211789609620484,-0.7867765737749592,3.965486332373513
A Hologram for the King,5.8,7.057036981697891,97.0,17.216707972959764,2.8959,6.1,48737.0,2016,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15896944740501806,40.93081449384777,5.324782070612504,16.79622,2.9023391934519456,2.086545868792951,False,True,False,False,False,9,0.2930306663051665,-1.290596941977759,-0.6846818590324659
Neverlake,4.8,4.189654742026425,86.0,12.354496960983985,0.3638,5.3,2486.0,2014,4,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.027241759915245398,20.11034276172684,6.4397783197116665,1.74624,2.591853179134731,1.6466671712706678,False,True,False,False,False,5,-3.0536071393058495,0.04390152104959624,0.27449872024454847
It Follows,6.6,8.783089671796096,101.0,14.648420115681892,8.2778,6.8,287997.0,2015,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5289863090846144,57.968391833854234,6.4543256925204835,54.63347999999999,2.75036996081562,2.280655351516908,False,True,False,False,False,14,4.847798491120887,0.2729787172340107,1.745378273387371
