genres,original_language,popularity,production_companies,release_date,budget,runtime,vote_average
Comedy-Adventure-Action,fr,9.974,Gaumont-Mandarin Production-M6 Films-SCOPE Pictures,2021-08-04,20400000.0,117.0,5.6
Comedy-Romance,en,9.974,The Mount Company-Metro-Goldwyn-Mayer-Orion Pictures,1988-06-15,7000000.0,108.0,6.678
Drama-Romance,en,9.972,Miramax,2001-12-18,38000000.0,111.0,6.3
Horror,en,9.972,Hammer Film Productions,1970-11-08,478375.0,96.0,6.0
Fantasy-Adventure,no,9.971,Maipo Film-uMedia,2019-08-23,7300000.0,99.0,6.8
Drama,en,9.968,Myriad Pictures-Unison Films-Kim and Jim Productions-Division Films-Dreambridge Films,2014-05-14,3000000.0,119.0,6.175
Fantasy-Drama-Horror,en,9.967,Columbia Pictures,1994-06-17,70000000.0,125.0,6.1
Comedy,en,9.964,20th Century Fox-IPC Films,1980-12-18,10000000.0,110.0,6.9
Comedy-Science Fiction,en,9.962,Graffiti Productions,1974-07-30,700000.0,90.0,4.9
Comedy,en,9.962,Paul Schiff Productions-20th Century Fox,1994-04-29,9000000.0,81.0,5.9
Drama-Comedy-Romance,en,9.96,Millennium Films-Equity Pictures Medienfonds GmbH & Co. KG II,2005-09-10,12000000.0,92.0,6.2
Western-Action-Drama,en,9.959,Icon Productions,2006-09-13,18000000.0,115.0,6.4
Drama-Romance,it,9.958,RAI-PACO Cinematografica-MiC-01 Distribution-Business Location Sudtirol Alto Adige-Film Commission Torino Piemonte-Trentino Film Commission,2016-01-14,10000000.0,122.0,6.3
Horror-Drama-Fantasy,es,9.957,Centro Nacional Autónomo de Cinematografía-Fundación  Villa del Cine-JEMD Films-Rodando Films-X Rojo Producciones-Xenon Films-Épica Producciones-TRES Cinematografía,2013-06-21,300000.0,101.0,6.7
Comedy-Drama-Romance,en,9.957,Universal Pictures-Castle Rock Entertainment,1999-10-14,50000000.0,96.0,6.0
Thriller-Crime,en,9.955,Universal Pictures-Cipher Films,2013-04-05,6000000.0,84.0,4.4
Thriller-Science Fiction-Action-Horror,en,9.951,Pittsburgh Films,1973-03-16,275000.0,103.0,6.018
Comedy-Crime,en,9.949,TriStar Pictures,1989-05-12,18000000.0,103.0,6.731
Music-Drama-Comedy-Family,en,9.949,Stage 6 Films-Park Pictures Features-Burn Later Productions-Houston King Productions,2018-06-08,2000000.0,97.0,7.0
Thriller-Action-Animation-Science Fiction,en,9.947,Warner Bros. Animation-DC Entertainment,2018-01-12,1000000.0,78.0,6.653
Action-Thriller-Crime-Romance,en,9.945,Veneration Music-Unstoppable Entertainment-Retro-juice Productions-Atlantic Swiss Productions,2010-06-02,4600000.0,117.0,5.6
Western-Drama-Action,en,9.943,Suretone Pictures-Mimran Schur Pictures,2019-03-08,8000000.0,100.0,5.9
Comedy-Drama-Romance,en,9.941,Depth of Field-Focus Features,2013-03-21,13000000.0,107.0,5.6
Drama-History-War,en,9.937,Columbia Pictures-Irving Allen Productions,1970-09-16,8000000.0,139.0,6.6
Drama-Romance,en,9.933,Ecosse Films-Le Pacte-SCOPE Pictures-Filmgate Films-Film i Väst,2013-09-19,15000000.0,113.0,5.6
Comedy,en,9.932,Paramount-Nickelodeon Movies-Anonymous Content-Fake Empire Productions,2012-10-24,14000000.0,87.0,5.6
Comedy-Drama,fr,9.931,Celluloid Dreams-TheManipulators,2011-10-26,12000000.0,93.0,7.0
Comedy-Horror-Science Fiction,en,9.929,Vía Digital-Filmax-Castelao Productions-Fantastic Factory (Filmax),2003-04-04,3000000.0,95.0,5.5
Western,en,9.929,Central Cinema Company Film-Palomar Pictures International-Kingston Film Productions Ltd.,1968-11-06,1455000.0,113.0,5.8
Crime-Thriller-Horror,en,9.928,Universal Pictures-Alfred J. Hitchcock Productions,1972-05-25,3500000.0,116.0,7.1
Comedy,en,9.925,20th Century Fox-Hughes Entertainment,1991-07-19,17000000.0,107.0,6.4
Drama-Fantasy-Science Fiction,en,9.924,Le Pacte-Zanuck Independent-MediaPro Pictures-Zephyr Films-Picture Perfect Corporation-Wild Side Films-Voltage Pictures,2013-09-20,8500000.0,107.0,6.1
Science Fiction-Comedy,en,9.924,Z Films Inc.,1982-08-01,500000.0,112.0,5.8
Comedy-Crime,en,9.923,Charles Chaplin Productions-United Artists,1947-09-26,2000000.0,124.0,7.8
Action-Comedy,en,9.922,Gerber Pictures-Entertainment One-Broad Green Pictures-Reel Chefs Catering-Endurance Media,2017-12-01,22000000.0,91.0,4.833
Documentary,en,9.921,BBC,2016-10-25,36501.0,167.0,7.4
Fantasy-Horror-Mystery-Thriller,ja,9.917,Basara Pictures,1998-01-31,2900000.0,97.0,5.3
Drama-Romance,fr,9.916,France 2 Cinéma-Canal+-Hachette Première,1995-09-20,35000000.0,135.0,6.3
Fantasy-Adventure,en,9.916,Paramount-Walt Disney Productions,1981-06-26,18000000.0,108.0,6.5
Adventure-Comedy-Romance,en,9.914,Paramount,1941-11-30,700000.0,91.0,7.5
Drama-Comedy-Crime,en,9.913,Jaffe / Braunstein Enterprise-Participant-Groundswell Productions-Section Eight-Warner Bros. Pictures,2009-09-17,22000000.0,108.0,6.1
War-Drama-History,en,9.911,20th Century Fox,1970-01-25,12000000.0,172.0,7.5
Horror,en,9.911,Vía Digital-Filmax Entertainment-Dimension Films-Castelao Productions,2002-10-11,10600000.0,102.0,5.7
Action-Thriller,en,9.91,Castel Film-Clubdeal,2006-08-15,12000000.0,110.0,6.124
Western,en,9.908,Metro-Goldwyn-Mayer,1962-06-20,813000.0,94.0,7.0
Romance-Comedy,en,9.907,Cinema175,2014-09-06,80000.0,90.0,6.7
Fantasy-Thriller,en,9.907,Spyglass Entertainment-Hollywood Pictures-Birnbaum / Barber Productions-Macari/Edelstein-Limbo Productions-Sonet Film,2007-04-27,30000000.0,102.0,6.361
Animation-Adventure-Family,en,9.906,Metro-Goldwyn-Mayer-Sullivan Bluth Studios,1995-04-12,28000000.0,74.0,5.3
Drama-Romance,en,9.906,Universal Pictures-The Kennedy/Marshall Company,1999-12-22,35000000.0,127.0,6.2
Adventure-Drama,fr,9.906,Pan Européenne Production-Fidélité Films-Moana Films-Curiosa Films,2016-10-12,20000000.0,122.0,6.8
Crime-Thriller,en,9.906,BBC-Paramount-H2L Media Group-Mutual Film Company-Savoy Pictures-Tele München Fernseh Produktionsgesellschaft (TMG)-TOHO-TOHO-TOWA-Union Générale Cinématographique (UGC),1998-12-11,30000000.0,121.0,7.2
Drama-Thriller-Mystery,es,9.905,The Visualistas-Producciones a Ciegas,2017-08-14,650000.0,81.0,5.9
Crime-Drama-Thriller-Action,en,9.904,Metro-Goldwyn-Mayer-United Artists-Intermedia Films-IM Filmproduktion-Cosmic Pictures-Alphaville Films,2002-12-14,15000000.0,118.0,6.2
Mystery-Drama-Thriller,en,9.902,Palomar Pictures-Miracle Pictures-StudioCanal-Manifest Film Company,2000-09-25,16000000.0,113.0,5.6
Comedy-Drama,en,9.901,Sony Pictures-Destination Films-Samuel Goldwyn Films-Andrew Lauren Productions,2005-10-05,1500000.0,81.0,6.96
Drama-Thriller-War,nl,9.9,Studio Babelsberg-Motel Films-Motion Investment Group-Egoli Tossell Film-Nederlands Fonds voor de Film-uFilm-Fu Works-Hector BV-Media Programme of the European Community-Euroimages Fund of the Council of Europe-VIP 4 Medienfonds-ContentFilm International-Clockwork Pictures-CoBo Fonds-FFA-Medienboard Berlin-Brandenburg-Sony Pictures Classics,2006-09-14,21000000.0,145.0,7.5
Crime-Thriller,es,9.899,Naya Films S.A.-Patagonik-FX Sound-Industrias Audiovisuales Argentinas S.A.-J.Z. & Asociados-Kodak Argentina S.A.-INCAA,2000-08-31,1300000.0,114.0,7.8
Drama-History,fi,9.899,Taska Film-Solar Films,2012-09-07,3100000.0,125.0,6.8
Crime-Comedy-Drama,en,9.896,Warner Bros. Pictures,1990-12-21,47000000.0,125.0,5.6
Comedy-Romance,en,9.895,Belladonna Productions-Whitest Pouring Films,2009-04-25,1000000.0,90.0,5.6
Drama-Romance,en,9.893,BBC Film-Australian Film Finance Corporation-Myriad Pictures-Zephyr Films-MacGowan Films,2007-09-13,20000000.0,97.0,6.0
Drama,en,9.892,CiBy 2000-Channel Four Films-Thin Man Films,1996-05-24,4500000.0,142.0,7.6
Comedy-Action-Fantasy,en,9.892,TriStar Pictures-Keith Barish Productions-TAFT Entertainment Pictures-HBO,1987-08-14,12000000.0,82.0,6.7
War-Drama-Science Fiction,en,9.892,Western-World Television Inc.-BBC-Nine Network Australia,1984-09-23,420000.0,117.0,7.7
Drama,en,9.889,Anonymous Content-Summit Entertainment-Participant-Imagenation Abu Dhabi FZ,2011-05-05,21000000.0,91.0,6.4
Drama,en,9.883,Belladonna Productions,2005-12-23,1000000.0,103.0,7.067
Thriller-Action-Drama-War,en,9.882,Screen Yorkshire-Film4 Productions-BFI-Creative Scotland-Warp Films-Crab Apple Films,2014-10-10,11000000.0,99.0,6.8
Drama-Romance,en,9.88,Fox Searchlight Pictures,1997-09-07,1000000.0,84.0,5.3
Horror-Thriller-Mystery,en,9.875,Universal Pictures,1986-04-02,8400000.0,93.0,5.5
Thriller-Action-Crime,en,9.87,Wild Bunch-Sayaka Producciones Audiovisuales-Apaches Entertainment-LA Panda-Atresmedia-SpectreVision,2014-07-04,4000000.0,101.0,5.1
Comedy-Drama-History,en,9.869,Gaumont-Canal+-France 3 Cinéma-Quad Productions-France Télévisions-Ciné+-La Compagnie Cinématographique-Panache Productions-Free Range Films-Title Media-Main Journey-AFPI,2017-10-20,13000000.0,107.0,7.0
Drama,en,9.867,Universal Pictures-Michael Laughlin Enterprises,1971-07-07,850000.0,102.0,6.9
Thriller-Horror,en,9.863,QC Entertainment-Lost Hills Film Fund,2018-06-23,3500000.0,90.0,5.8
Comedy-Crime-Mystery,en,9.862,Fox Searchlight Pictures-Broken Lizard Industries-Jersey Shore-Cataland Films-Árpád Productions,2001-02-15,1200000.0,100.0,6.6
Comedy-Drama-Romance,en,9.86,20th Century Fox,1998-04-17,15000000.0,111.0,5.8
Comedy,en,9.857,Castle Rock Entertainment-Baltimore Spring Creek Productions-NPV Entertainment-DreamWorks Pictures-Nu Image,2004-04-30,40000000.0,99.0,4.9
Horror-Thriller,en,9.853,IM Global-Alliance Films-Blumhouse Productions-Automatik Entertainment-Haunted Movies,2013-04-18,1500000.0,101.0,5.4
Comedy-Fantasy,fr,9.852,Memento Films Production-Artémis Productions-VOO-BeTV-Chi-Fou-Mi Productions-Shelter Prod,2020-09-16,4900000.0,77.0,6.3
Comedy-Romance,en,9.852,Jersey Films-Universal Pictures-Fish Productions,1997-01-23,25000000.0,93.0,6.149
Crime-Drama-Thriller,en,9.851,Bandai Visual-Office Kitano-Tokyo FM-Recorded Picture Company-Fuzzy Bunny Films (I)-Little Brother Inc.,2000-12-13,12000000.0,114.0,7.1
Comedy-Crime-Drama,en,9.851,Bob DeBrino Entertainment-Yari Film Group Releasing-BDE Entertainment-Bob Yari Productions-Syndicate Films International-Crossroads Entertainment (II)-Three Wolves Productions-MHF Zweite Academy Film-One Race,2006-03-16,13000000.0,125.0,6.5
Comedy,en,9.848,Fox Atomic,2007-10-19,15000000.0,107.0,4.9
Family-TV Movie-Comedy-Action-Adventure,en,9.847,Salty Pictures,2009-02-16,4500000.0,84.0,5.289
Drama-Comedy,fr,9.841,France 2 Cinéma-Mars Films-SCOPE Pictures-C8 Films-Medset Film,2018-10-17,8500000.0,93.0,6.6
Comedy-Crime,en,9.839,Epic Productions-Euphoria Films Production,1990-08-24,9000000.0,98.0,5.6
Drama,en,9.837,ARTE France Cinéma-Les Films du Losange-Pallas Film-ZDF/Arte-SRG SSR-RTS-Orange Studio-CAB Productions-CG Cinéma-Vortex Sutra-Ezekiel Film Production,2014-08-20,6600000.0,124.0,6.651
Comedy-Thriller-War,en,9.836,Paramount,1953-05-29,1661530.0,120.0,7.7
Action-Thriller-Crime,en,9.836,Nu Image-Millennium Films-Euroimage EOOD-Signature Entertainment-bellpark-Absolut Film Management-M7 Productions,2007-01-19,10000000.0,101.0,5.9
Comedy-Drama,en,9.833,Suburban Pictures,1996-05-24,800000.0,88.0,7.163
Drama-Comedy,en,9.832,Warner Bros. Pictures-A-Team,1978-05-26,11000000.0,120.0,6.9
Drama,en,9.83,Fox Searchlight Pictures-Qwerty Films-N1 European Film Produktions GmbH & Co. KG-Pretty Pictures-American Zoetrope-Myriad Pictures,2004-09-04,11000000.0,118.0,6.7
Drama-Romance,en,9.829,Universal Pictures-Will Packer Productions,2020-02-14,16000000.0,106.0,6.5
Drama-Romance-War,en,9.826,Universal Pictures-Keith Barish Productions-ITC Entertainment,1982-12-08,12000000.0,151.0,7.4
Drama-Music,hi,9.821,Excel Entertainment-Tiger Baby,2019-02-14,5782853.0,156.0,7.5
Western,en,9.818,RKO Radio Pictures,1949-10-22,1600000.0,103.0,6.971
Comedy-Drama,en,9.817,Zininsa Film Production-Intellectual Properties Worldwide-Unclaimed Freight Productions-Shocking Bottle,2008-09-05,5000000.0,110.0,6.3
Thriller-Action-Comedy-Crime-Drama-Romance,en,9.817,Universal Pictures,1985-02-22,11400000.0,115.0,6.5
Drama-History-War,it,9.814,Minerva Film-Excelsa Film,1945-10-08,20000.0,103.0,8.014
Mystery-Horror-Romance,en,9.808,RKO Radio Pictures,1942-12-05,134000.0,73.0,6.9
Comedy-Drama,en,9.808,Universal Pictures-Will Packer Productions,2016-11-11,17000000.0,111.0,5.9
Drama-Crime-Comedy,fr,9.807,Les Films du Lendemain-SCOPE Pictures-Les Films La Boétie,2020-09-09,5080800.0,104.0,5.9
Action,en,9.806,New World Pictures-Harbor Productions-Shaw Brothers-Cross Country,1976-07-06,780000.0,93.0,5.564
Documentary,en,9.805,First Spark Media-A.U.M. Films,2014-07-01,117.0,90.0,7.7
Comedy-Romance-Music,en,9.804,20th Century Fox-Chenault Productions,1969-12-12,24000000.0,146.0,7.018
Crime-Mystery-Thriller,en,9.802,Canal+-Warner Bros. Pictures-thinkfilm-Eurimages-Telecinco Cinema-La Fabrique 2-Tornasol Films-Canal+ España-Warner Bros. Entertainment España-Oxford Crimes,2008-01-18,14100000.0,107.0,5.9
Drama-Action-History-War,en,9.797,EMI Films-Terra-Filmkunst-Rapid Film,1977-01-29,6000000.0,132.0,7.0
Drama-Thriller,en,9.796,Castle Rock Entertainment-Simian Films,1996-09-27,38000000.0,118.0,5.927
Drama-Thriller,fr,9.795,Fidélité Films-Wild Bunch-Jerico-TPS Star-TF1 Films Production,2008-12-03,10000000.0,96.0,6.9
Horror-Thriller,en,9.794,A Bigger Boat-Relativity Media-FilmNation Entertainment,2012-09-21,6900000.0,101.0,5.8
Drama-Thriller-Mystery-Crime,en,9.792,Castle Rock Entertainment-Section Eight-Mirage Enterprises,2007-10-12,25000000.0,120.0,6.8
Romance-Drama,en,9.792,Paramount-Love Story Company,1970-12-16,2200000.0,99.0,6.8
Action-Animation-Comedy-Family,en,9.791,Threshold Animation Studios-Threshold Entertainment-C47 Productions-Natural Image-StoryArk Media,2012-06-15,65000000.0,91.0,1.9
Drama-Horror-Science Fiction,en,9.79,Jack Dietz Productions,1953-06-13,210000.0,80.0,6.7
Comedy-Horror,en,9.79,Darko Entertainment-Gravitas Ventures,2013-09-06,2500000.0,98.0,5.246
Comedy-Romance-Drama,da,9.789,Zentropa Entertainments-ARTE France Cinéma-DR-Network Movie-Film i Väst-SVT-Slot Machine-Zentropa International Sweden-Zentropa International France-ZDF/Arte-Lumière & Co.-Longride-Zentropa International Berlin,2012-09-04,5500000.0,116.0,6.0
Family-Comedy,en,9.788,Mosaic Media Group,2005-05-13,45000000.0,95.0,5.8
Drama-Romance,en,9.786,Paramount Vantage-Andrea Sperling Productions-Indian Paintbrush-Super Crispy Entertainment-Ascension Productions,2011-10-28,250000.0,90.0,6.4
Drama-Romance-Thriller,es,9.785,El Deseo-Universal Pictures International (UPI)-ICAA-Ministerio de Cultura España,2009-03-18,18000000.0,127.0,7.169
Music-Drama-Crime,fr,9.784,Canal+-France 3 Cinéma-Why Not Productions-Sédif Productions-La Région Île-de-France-Cofimage 15-Ciné Cinéma,2005-03-16,6400000.0,107.0,7.0
Family-Drama-TV Movie,en,9.782,Full Twisting Double Back,2017-03-09,600000.0,93.0,6.5
Crime-Drama-Mystery-Thriller,en,9.781,Filmways Pictures-Cinema 77,1981-07-24,18000000.0,108.0,7.3
Comedy-Crime-Drama,en,9.776,Castle Rock Entertainment-Horsethief Pictures-Mandalay Vision-Wind Dancer Productions-Detour Filmproduction,2012-04-27,5000000.0,99.0,6.6
Thriller-Crime,en,9.772,Propaganda Films-Kouf/Bigelow Productions,1993-06-24,9000000.0,117.0,6.538
Drama,en,9.766,Likely Story-Projective Testing Service,2008-10-24,20000000.0,124.0,7.7
Mystery-Thriller,en,9.765,Cinevox Filmproduktion GmbH-Lamb Bear Entertainment-Cineplex Odeon Films-Ink Slinger Productions-Knight Moves Productions,1992-01-14,9000000.0,116.0,5.9
Horror,en,9.764,Efish Entertainment-Vitamin A Films-Silver Moonlight Productions-PalmStar Media-Barking Fish Entertainment,2012-04-16,6000000.0,90.0,3.5
