title,popularity,budget,runtime,vote_average,vote_count,release_year,release_month,Action,Adventure,Comedy,Crime,Drama,Family,Fantasy,Horror,Mystery,Outros,Romance,Science Fiction,Thriller,popularity_per_budget,vote_weighted,runtime_per_budget,vote_popularity_weighted,budget_log,vote_count_log,continent_Africa,continent_America_do_Norte,continent_Asia,continent_Europa,continent_Outros
Little Man Tate,13.571,16.118095750958314,99.0,6.5,5.43372200355424,1991,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0.7927867794079994,35.31919302310256,5.783353559899192,88.2115,2.840136135027038,1.8615532204780585,False,True,False,False,False
The Producers,13.569,13.761055428133867,88.0,7.2,6.418364935936212,1967,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9192432117108736,46.21222753874073,5.961633328215556,97.69680000000001,2.6919923225870255,2.0039586738584223,False,True,False,False,False
The Ward,13.569,16.118095750958314,88.0,5.8,6.928537818164665,2010,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0.7926699439825469,40.185519345355054,5.140758719910393,78.70020000000001,2.840136135027038,2.0704686325376875,False,True,False,False,False
We Die Young,13.566,15.201805169084134,93.0,6.9,5.556828061699537,2019,5,1,0,0,1,1,0,0,0,0,0,0,0,1,0.8373141053372432,38.34211362572681,5.740101120180127,93.6054,2.7851226662208344,1.880506958839086,False,True,False,False,False
House of 1000 Corpses,13.563,15.76142084987672,89.0,6.2,7.247792581767846,2003,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0.809179610814423,44.93631400696064,5.309812383874043,84.09060000000001,2.819079867706262,2.1099455986981406,False,True,False,False,False
Serendipity,13.561,17.147715103853763,90.0,6.9,7.424761761823209,2001,10,0,0,1,0,1,0,0,0,0,0,1,0,0,0.7472566062666617,51.230856156580145,4.959302010471171,93.57090000000001,2.8985446631912657,2.1311751983102063,False,True,False,False,False
El Topo,13.558,12.899222326086994,125.0,7.1,6.222576268071369,1970,12,1,1,0,0,1,0,0,0,0,1,0,0,0,0.975450257713587,44.18029150330672,8.993308910915944,96.2618,2.6318328908079858,1.9772117130908506,False,False,False,True,False
Duplicity,13.556,17.909855136853043,125.0,5.9,6.502790045915623,2009,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0.7168748730169264,38.36646127090218,6.610309761516363,79.9804,2.939683221977514,2.015274957487226,False,True,False,False,False
Buffalo '66,13.555,14.220976332738882,110.0,7.1,6.583409222158765,1998,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0.8905473409642242,46.742205477327225,7.226868868023951,96.2405,2.722674498387897,2.025962863996416,False,True,False,False,False
The Man with One Red Shoe,13.548,16.588099342704055,90.0,5.8,5.4116460518550396,1985,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0.7702935795401917,31.387547100759228,5.117096409700122,78.5784,2.8672224996255626,1.8581160323277108,False,True,False,False,False
"Roman J. Israel, Esq.",13.547,16.906553056777135,122.0,6.3,6.985641817639208,2017,11,0,0,0,1,1,0,0,0,0,0,0,0,1,0.7565386792782454,44.00954345112701,6.813148215246618,85.3461,2.8851667384085613,2.077645156350333,False,True,False,False,False
D-Tox,13.545,17.822843761378564,96.0,5.6,6.315358001522335,2002,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0.7196043367151648,35.366004808525076,5.100185775168389,75.85199999999999,2.9350712258973797,1.9899759740157912,False,True,False,False,False
Abraham Lincoln vs. Zombies,13.544,11.918397239722838,90.0,4.0,4.68213122712422,2012,5,1,0,0,0,0,0,0,1,0,0,0,0,1,1.048427273807117,18.72852490849688,6.966808523526324,54.176,2.558652438006258,1.7373263784001205,False,True,False,False,False
The Admiral: Roaring Currents,13.538,16.066802461833923,126.0,7.1,5.488937726156687,2014,7,1,0,0,0,1,0,0,0,0,1,0,0,0,0.7932358759219661,38.97145785571247,7.382753757288206,96.1198,2.8371352000937793,1.8700988387609099,False,False,True,False,False
Frida,13.532,16.300417291085605,123.0,7.4,7.51425465281641,2002,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0.782177664984569,55.605484430841436,7.109655098514779,100.13680000000001,2.85073062208483,2.1417417768501896,False,True,False,False,False
This Is It,13.532,17.909855136853043,111.0,7.2,6.669498089857879,2009,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7156056935427153,48.020386246976734,5.86995506822653,97.4304,2.939683221977514,2.0372511751490663,False,True,False,False,False
Birth,13.531,16.811242881518265,100.0,5.9,6.2766434893416445,2004,10,0,0,0,0,1,0,0,0,1,0,1,0,0,0.7596887028046968,37.032196587115706,5.614431326618113,79.83290000000001,2.879829880465673,1.984669696731773,False,True,False,False,False
Copycat,13.524,16.811242881518265,124.0,6.484,6.673297967767654,1995,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0.7592956926118335,43.26966402300547,6.9618948450064595,87.689616,2.879829880465673,2.037746505722867,False,True,False,False,False
Return of the Living Dead: Necropolis,13.521,15.607270193858982,88.0,5.4,5.288267030694535,2005,10,1,0,1,0,0,0,0,1,0,0,0,0,0,0.8141614992811873,28.55664196575049,5.298884101526845,73.0134,2.809840562969964,1.8386855209387276,False,True,False,False,False
Kill Your Darlings,13.519,13.845132465010785,104.0,7.1,7.103322062526113,2013,9,0,0,0,0,1,0,0,0,0,0,1,0,1,0.910668869534414,50.4335866439354,7.005663320628675,95.9849,2.697672031383105,2.0922741087736543,False,True,False,False,False
A Bag of Marbles,13.517,16.87890152672105,110.0,7.8,6.633318433280377,2017,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.7560307874506754,51.73988377958694,6.152503264006384,105.4326,2.883621331992395,2.032522669918176,False,False,False,True,False
Locked Down,13.516,16.118095750958314,118.0,5.4,5.424950017481403,2021,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0.7895738052080553,29.29473009439958,6.893290101698026,72.9864,2.840136135027038,1.8601888513706977,False,True,False,False,False
Children of the Corn,13.515,15.319588176962746,92.0,4.5,5.049856007249537,2009,9,0,0,0,0,0,0,0,1,0,1,0,0,1,0.8281458976445378,22.724352032622917,5.637397157476691,60.8175,2.7923661149628383,1.8000344713048928,False,True,False,False,False
Desert Hearts,13.513,12.765691290604371,91.0,7.2,4.700480365792417,1985,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0.981643399864935,33.8434586337054,6.6106378589291115,97.2936,2.6221793582274318,1.7405504459900154,False,True,False,False,False
Taps,13.507,16.454567959008102,126.0,6.8,5.44673737166631,1981,12,0,0,0,0,1,0,0,0,0,1,0,0,0,0.7738375439438586,37.037814127330904,7.218740692746442,91.8476,2.859601388546752,1.863574168980396,False,True,False,False,False
Smokey and the Bandit Part 3,13.501,16.012735246411598,85.0,4.5,4.897839799950911,1983,8,1,0,1,1,0,0,0,0,0,0,0,0,0,0.7935819728251923,22.0402790997791,4.996257143185049,60.7545,2.8339621957386507,1.7745861482661287,False,True,False,False,False
The Bookshop,13.499,15.501909696719672,110.0,6.482,5.910796644040527,2017,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8180265343885257,38.313783846670695,6.665895161325863,87.500518,2.8034761134044026,1.9330849197075204,False,True,False,False,False
St. Trinian's,13.497,16.454567959008102,101.0,5.9,6.07993319509559,2007,12,0,0,1,0,0,1,0,0,0,0,0,1,0,0.7732646280158629,35.87160585106398,5.786450872757069,79.6323,2.859601388546752,1.9572644719401497,False,True,False,False,False
When the Game Stands Tall,13.494,16.52356082573315,115.0,6.644,5.726847747587197,2014,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7700489720208129,38.04917643496934,6.5625931363860595,89.654136,2.8635463083350072,1.9061066457543656,False,True,False,False,False
The Brothers Bloom,13.49,16.811242881518265,114.0,6.6,6.26530121273771,2008,9,0,1,1,0,1,0,0,0,0,0,1,0,0,0.7573867859607833,41.35098800406888,6.400451712344648,89.03399999999999,2.879829880465673,1.9831097569663099,False,True,False,False,False
A Separation,13.489,15.424948670398354,123.0,7.9,7.29776828253138,2011,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8212506638946381,57.652369431997904,7.488607877458705,106.5631,2.7988014392758886,2.115986597024682,False,False,False,False,True
Don't Say a Word,13.489,17.72753358339242,113.0,6.2,6.664409020350408,2001,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0.7202763748859085,41.31933592617253,6.033896535110657,83.63180000000001,2.9299948251044747,2.036587408288116,False,True,False,False,False
Mainstream,13.488,15.424948670398354,95.0,6.3,4.955827057601261,2021,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0.8211897809037643,31.22171046288794,5.783884132996561,84.97439999999999,2.7988014392758886,1.7843700777314968,False,True,False,False,False
Eye in the Sky,13.488,16.380459992348886,102.0,7.0,7.2254814727822945,2016,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0.7760439025168264,50.578370309476064,5.868659405153936,94.416,2.8553465862504646,2.107236832662461,False,True,False,False,False
Traitor,13.481,16.906553056777135,114.0,6.6,6.26530121273771,2008,8,1,0,0,1,1,0,0,0,0,0,0,0,1,0.7528528777847512,41.35098800406888,6.3663843978533965,88.9746,2.8851667384085613,1.9831097569663099,False,True,False,False,False
Blue Valentine,13.48,13.815511557963774,112.0,6.944,7.9665866976384025,2010,12,0,0,0,0,1,0,0,0,0,0,1,0,0,0.9098572092675465,55.31997802840107,7.559644468691782,93.60512,2.6956747101603242,2.193505079420925,False,True,False,False,False
Radio Days,13.476,16.588099342704055,90.0,7.1,6.1463292576688975,1987,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0.7661999024124316,43.63893772944917,5.117096409700122,95.67960000000001,2.8672224996255626,1.9665988343400544,False,True,False,False,False
Sharknado,13.475,13.815511557963774,86.0,3.936,7.249215057114389,2013,7,1,0,1,0,0,0,1,1,0,1,0,1,0,0.90951972513948,28.532910464802235,5.804727002745475,53.0376,2.6956747101603242,2.1101180512278606,False,True,False,False,False
Attack the Block,13.47,16.479297572653444,88.0,6.4,7.446585099157725,2011,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0.7706259329936671,47.65814463460944,5.034527253410743,86.20800000000001,2.8610171847891555,2.133762229409242,False,True,False,False,False
The Hunchback of Notre Dame,13.469,14.403297778421795,117.0,7.3,5.030437921392435,1939,12,0,0,0,0,1,0,0,1,0,0,1,0,0,0.8744231393662,36.722196826164776,7.595776026865053,98.32369999999999,2.7345816279505355,1.7968196318819551,False,True,False,False,False
Wishmaster 3: Beyond the Gates of Hell,13.465,14.220976332738882,89.0,4.477,4.875197323201151,2001,10,0,0,0,0,0,0,1,1,0,0,0,0,1,0.8846344482540228,21.826258415971555,5.847193902310288,60.282805,2.722674498387897,1.77073964639405,False,True,False,False,False
Ring of the Nibelungs,13.464,16.951004817371683,133.0,6.3,4.700480365792417,2004,11,1,1,0,0,0,0,1,0,0,1,0,0,0,0.7500415791193212,29.613026304492223,7.409056002886937,84.8232,2.887646092051199,1.7405504459900154,False,True,False,False,False
Bon Cop Bad Cop,13.46,15.894952224644102,116.0,6.4,5.2832037287379885,2006,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0.7966876627426238,33.812503863923126,6.865956083071646,86.144,2.8270148923814977,1.8378799982871266,False,False,False,True,False
Ticking Clock,13.458,15.607270193858982,101.0,5.4,4.04305126783455,2011,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.8103679799812306,21.832476846306573,6.081673798343311,72.67320000000001,2.809840562969964,1.6180113091810355,False,True,False,False,False
Black Widow,13.457,16.166885910365842,102.0,6.1,5.111987788356544,1987,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0.7838929011507143,31.183125508974914,5.941671688888523,82.0877,2.842982290397648,1.8102520538839093,False,True,False,False,False
Savages,13.454,17.622173069956816,131.0,6.349,7.571473648851271,2012,7,0,0,0,1,1,0,0,0,0,0,0,0,1,0.7224720739871848,48.07128619655672,7.034624772730876,85.41944600000001,2.92435297126682,2.148439672185607,False,True,False,False,False
Pumpkinhead,13.454,15.068273812173887,86.0,6.3,5.8888779583328805,1988,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0.837302136948076,37.099931137497144,5.35216171975134,84.7602,2.7768467571891517,1.9299082210139993,False,True,False,False,False
I ♥ Huckabees,13.451,16.906553056777135,106.0,6.273,6.297109319933935,2004,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0.7511775134695267,39.501766763945575,5.919620580460176,84.378123,2.8851667384085613,1.9874782861614542,False,True,False,False,False
Innerspace,13.449,17.11134746100564,120.0,6.8,6.9584483932976555,1987,6,1,0,1,0,0,0,0,0,0,0,0,1,0,0.7425731315108478,47.317449074424054,6.62568040607493,91.4532,2.896538673379569,2.0742340553907352,False,True,False,False,False
Catch-22,13.448,16.705882371415992,121.0,6.8,5.5134287461649825,1970,6,0,0,1,0,1,0,0,0,0,1,0,0,0,0.7595215938918792,37.49131547392188,6.833887036058699,91.4464,2.8738969217360877,1.873866006687491,False,True,False,False,False
Ernest Saves Christmas,13.445,15.607270193858982,95.0,5.4,4.983606621708336,1988,11,0,0,1,0,0,1,0,0,0,0,0,0,0,0.809585190284414,26.911475757225016,5.7203862459664805,72.60300000000001,2.809840562969964,1.7890235001604364,False,True,False,False,False
Final Cut,13.445,15.274125813221904,110.0,7.1,5.6937321388027,2022,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0.8261580470931728,40.425498185499166,6.759195625157977,95.45949999999999,2.789576473178704,1.9011715868708958,False,False,False,True,False
A Good Year,13.445,17.370858648025116,117.0,6.7,7.173958319756794,2006,9,0,0,1,0,1,0,0,0,0,0,1,0,0,0.731865627927269,48.06552074237052,6.368782333022719,90.0815,2.910765639997766,2.100953286004641,False,True,False,False,False
The Summit of the Gods,13.444,16.10298211467111,95.0,7.9,5.5254529391317835,2021,9,0,1,0,0,0,0,0,0,1,1,0,0,0,0.7860617470018636,43.65107821914109,5.554586876314865,106.20760000000001,2.839252840974805,1.875710366758475,False,False,False,True,False
Walled In,13.44,16.118095750958314,92.0,4.8,5.081404364984463,2009,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0.78513405904086,24.390740951925423,5.374429570815411,64.512,2.840136135027038,1.8052356503890232,False,True,False,False,False
Forbidden Empire,13.436,17.073607134447293,128.0,5.9,5.53338948872752,2014,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0.7434044515879583,32.64699798349237,7.082150178867122,79.2724,2.894452704740662,1.8769258727448193,False,False,False,True,False
To Die For,13.43,16.811242881518265,106.0,6.589,6.493753839851686,1995,9,0,0,1,1,1,0,0,0,0,0,0,0,0,0.7540181271648124,42.787344050782764,5.951297206215199,88.49027000000001,2.879829880465673,2.014069852200787,False,True,False,False,False
The Dead Pool,13.419,16.811242881518265,91.0,6.3,6.53813982376767,1988,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0.7534005397188845,41.19028088973632,5.1091325072224825,84.5397,2.879829880465673,2.0199754438593875,False,True,False,False,False
The Invisible Guardian,13.417,15.424948670398354,129.0,6.5,6.375024819828097,2017,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8168670885517353,41.437661328882626,7.853905822700593,87.2105,2.7988014392758886,1.9980992676206404,False,False,False,True,False
Cosmoball,13.416,16.52356082573315,115.0,6.4,5.187385805840755,2020,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0.7655978218935251,33.19926915738083,6.5625931363860595,85.86240000000001,2.8635463083350072,1.8225126721028055,False,False,False,True,False
The War of the Worlds,13.415,14.508658238524095,85.0,6.8,6.2324480165505225,1953,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0.8650006850158468,42.38064651254355,5.480809409343793,91.222,2.7413984640023243,1.9785775703622708,False,True,False,False,False
Ernest & Celestine,13.415,16.342570715415327,78.0,7.8,6.240275845170769,2012,12,0,1,1,0,1,1,0,0,0,1,0,0,0,0.7735300734899573,48.674151592332,4.49760311086222,104.63699999999999,2.8531642138480935,1.9796593058335408,False,False,False,True,False
Miller's Crossing,13.412,16.454567959008102,115.0,7.489,7.229113877793302,1990,9,0,0,0,1,1,0,0,0,0,0,0,0,1,0.7683948426278991,54.138833830794034,6.588533171951118,100.442468,2.859601388546752,2.107678339122222,False,True,False,False,False
The Chase,13.411,17.073607134447293,89.0,5.739,5.71042701737487,1994,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0.7420212191311483,32.77214065271438,4.924307546243546,76.965729,2.894452704740662,1.903662587911754,False,True,False,False,False
Black Christmas,13.411,13.3374763699232,98.0,6.9,6.406879986069314,1974,10,0,0,0,0,0,0,0,1,1,0,0,0,1,0.9353807918479475,44.20747190387827,6.835233584452976,92.5359,2.6628768343232294,2.0024092961280906,False,True,False,False,False
Blame It on Rio,13.41,16.012735246411598,100.0,5.7,4.875197323201151,1984,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0.7882330387071942,27.78862474224656,5.877949580217704,76.437,2.8339621957386507,1.77073964639405,False,True,False,False,False
The Church,13.409,15.068273812173887,102.0,6.1,5.303304908059076,1989,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8345015872109968,32.35015993916036,6.347912737379496,81.7949,2.7768467571891517,1.8410740844298052,False,False,False,True,False
Crown Vic,13.406,15.096444681204078,110.0,6.1,5.111987788356544,2019,11,1,0,0,1,1,0,0,0,0,0,0,0,0,0.8328547244755405,31.183125508974914,6.833807227533153,81.7766,2.7785984203500838,1.8102520538839093,False,True,False,False,False
Man-Thing,13.406,15.424948670398354,97.0,4.3,5.062595033026967,2005,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0.8161973756521252,21.769158642015956,5.905650114743857,57.6458,2.7988014392758886,1.8021379316915813,False,True,False,False,False
Hot Tub Time Machine 2,13.404,17.399029524198163,93.0,5.2,6.678342114654332,2015,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7285166852072951,34.727378996202525,5.054614422879621,69.7008,2.912297919973866,2.038403653368476,False,True,False,False,False
Hobo with a Shotgun,13.401,14.914123179965662,86.0,5.9,6.192362489474872,2011,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0.8420822088942078,36.53493868790175,5.404004922386529,79.0659,2.767206965277634,1.9730196976615502,False,True,False,False,False
Drive Me Crazy,13.391,15.894952224644102,91.0,6.5,5.703782474656201,1999,10,0,0,1,0,1,0,0,0,0,0,1,0,0,0.7926036026587276,37.07458608526531,5.3862241686165495,87.0415,2.8270148923814977,1.9026719155555414,False,True,False,False,False
Cherry 2000,13.39,16.118095750958314,99.0,6.0,5.389071729816501,1987,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0.7822131734045473,32.33443037889901,5.783353559899192,80.34,2.840136135027038,1.8545889886375557,False,True,False,False,False
A Most Wanted Man,13.389,16.52356082573315,121.0,6.5,7.0707241072602764,2014,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7640570391571561,45.9597066971918,6.904989300023593,87.0285,2.8635463083350072,2.088243206541556,False,True,False,False,False
A Nightmare on Elm Street 3: Dream Warriors,13.387,15.201805169084134,96.0,6.7,7.283448228756631,1987,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0.8262659537188319,48.79910313266943,5.925265672444002,89.69290000000001,2.7851226662208344,2.114259334453176,False,True,False,False,False
The Ramen Girl,13.385,14.978661680269907,102.0,6.4,5.666426688112432,2008,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0.8376796672857463,36.26513080391957,6.383513340541362,85.664,2.7712541871607104,1.8970839874548464,False,True,False,False,False
Finding Neverland,13.384,17.034386422832473,106.0,7.3,8.089482474360754,2004,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7421378075305717,59.0532220628335,5.87766046011959,97.7032,2.8922802923091946,2.207117973054945,False,True,False,False,False
Another Gay Movie,13.383,13.122365377402328,92.0,6.0,5.099866427824199,2006,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0.9476457832916989,30.59919856694519,6.514489431580087,80.298,2.6477597376813042,1.8082668738615209,False,True,False,False,False
Psycho II,13.382,15.424948670398354,113.0,6.459,6.297109319933935,1983,6,0,0,0,0,0,0,0,1,1,0,0,0,1,0.8147361838711576,40.67302909745329,6.879777968722225,86.434338,2.7988014392758886,1.9874782861614542,False,True,False,False,False
"Tomorrow, When the War Began",13.374,17.11134746100564,103.0,6.2,6.07073772800249,2010,8,1,1,0,0,1,0,0,0,0,0,0,0,0,0.738432081257051,37.63857391361544,5.6870423485476485,82.9188,2.896538673379569,1.95596482071691,False,True,False,False,False
"Crouching Tiger, Hidden Dragon: Sword of Destiny",13.371,16.811242881518265,103.0,6.11,6.331501849893691,2016,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0.7507056126821078,38.685476302850454,5.782864266416656,81.69681000000001,2.879829880465673,1.9921803857562759,False,True,False,False,False
Criminal Activities,13.371,15.76142084987672,94.0,5.9,5.556828061699537,2015,11,0,0,0,1,1,0,0,0,0,0,0,0,1,0.7977247346604476,32.78528556402727,5.608116450383821,78.8889,2.819079867706262,1.880506958839086,False,True,False,False,False
The Conversation,13.368,14.285514812209815,114.0,7.526,7.429520842786462,1974,4,0,0,0,1,1,0,0,0,1,0,0,0,0,0.8745534687076332,55.91457386281091,7.458041250199744,100.607568,2.7269056356529284,2.131739930871227,False,True,False,False,False
The Private Life of Sherlock Holmes,13.36,16.118095750958314,125.0,6.8,5.60947179518496,1970,10,0,1,1,1,0,0,0,0,1,1,0,0,0,0.7804606420227597,38.144408207257726,7.302214090781808,90.848,2.840136135027038,1.8885037407137346,False,True,False,False,False
Virtuosity,13.358,17.216707972959764,106.0,5.5,6.100318952020064,1995,8,1,0,0,1,0,0,0,0,0,0,0,1,1,0.7332828752499158,33.551754236110355,5.81883401530851,73.46900000000001,2.9023391934519456,1.9601397058579975,False,True,False,False,False
Wishmaster 4: The Prophecy Fulfilled,13.355,13.122365377402328,92.0,4.6,4.74493212836325,2002,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0.9456631125951311,21.82668779047095,6.514489431580087,61.433,2.6477597376813042,1.748318097194945,False,True,False,False,False
The Girl Who Played with Fire,13.353,15.302318130522243,130.0,6.978,7.278628942320682,2009,9,1,0,0,1,1,0,0,0,1,0,0,0,1,0.8190859663693875,50.79027275951372,7.974326041190772,93.177234,2.791307314297352,2.113677368009935,False,False,False,True,False
The To Do List,13.352,14.220976332738882,104.0,5.7,6.833031732786201,2013,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0.8772104829623255,38.94828087688135,6.832676020677191,76.10640000000001,2.722674498387897,2.058349629543269,False,True,False,False,False
Trance,13.352,16.811242881518265,101.0,6.6,7.6624678152002375,2013,3,0,0,0,1,1,0,0,0,1,0,0,0,1,0.7496388707300504,50.572287580321564,5.6705756398842935,88.1232,2.879829880465673,2.1589996490921193,False,True,False,False,False
Waterloo,13.352,17.034386422832473,134.0,7.159,4.983606621708336,1970,10,1,0,0,0,1,0,0,0,0,1,0,0,0,0.7403634194671393,35.67763980480998,7.430250015622878,95.586968,2.8922802923091946,1.7890235001604364,False,True,False,False,False
Stay,13.349,17.72753358339242,99.0,6.58,6.9930151229329605,2005,9,0,0,0,0,1,0,0,0,1,0,0,0,1,0.7128007508601076,46.01403950889888,5.286334132530576,87.83642,2.9299948251044747,2.0785680506642317,False,True,False,False,False
Dead Presidents,13.345,16.118095750958314,119.0,6.7,5.58724865840025,1995,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0.7795843763318658,37.434566011281674,6.951707814424282,89.4115,2.840136135027038,1.8851357588170432,False,True,False,False,False
Dead Man Walking,13.343,16.213405921671733,122.0,7.4,7.050122520269059,1995,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7751516498661732,52.17090664999104,7.087499159384931,98.7382,2.845688494284694,2.0856873112238503,False,True,False,False,False
Astral City: A Spiritual Journey,13.34,16.300417291085605,103.0,7.006,5.075173815233827,2010,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7710796667820092,35.55666774952819,5.953613619081481,93.46004,2.85073062208483,1.804210600378433,False,False,False,True,False
Long Day's Journey into Night,13.339,16.380459992348886,138.0,7.0,5.442417710521793,2018,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0.76747105691518,38.09692397365255,7.939950959914149,93.373,2.8553465862504646,1.8629038905519502,False,False,True,False,False
Handsome Devil,13.339,13.864301674514206,95.0,7.1,6.3835066348840055,2017,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8973849086278011,45.32289710767644,6.391151234698335,94.7069,2.698962477513686,1.999248679540891,False,True,False,False,False
Vantage Point,13.338,17.50439003707821,90.0,6.4,7.488852955733459,2008,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0.7208019271791155,47.92865891669414,4.863710709710632,85.3632,2.918008003234778,2.1387538858639608,False,True,False,False,False
Timecop,13.331,17.11134746100564,99.0,5.997,6.884486652042782,1994,9,1,0,0,1,0,0,0,0,0,0,0,1,1,0.7360578791115407,41.286266452300566,5.466186335011818,79.946007,2.896538673379569,2.0648971139256496,False,True,False,False,False
Passion Play,13.327,15.894952224644102,94.0,5.0,4.499809670330265,2011,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0.7888154889577226,22.499048351651325,5.563791998351161,66.635,2.8270148923814977,1.7047134862451474,False,True,False,False,False
BloodRayne,13.324,17.034386422832473,99.0,4.1,6.073044534100405,2005,10,1,0,0,0,0,0,1,1,0,0,0,0,0,0.738810829911636,24.899482589811658,5.489513071243768,54.62839999999999,2.8922802923091946,1.956291014386414,False,True,False,False,False
Mr. Six,13.321,12.429220196836383,134.0,6.8,4.875197323201151,2015,9,1,0,0,1,1,0,0,0,0,0,0,0,0,0.9919414385012558,33.15134179776783,9.978241330168027,90.58279999999999,2.597432944578047,1.77073964639405,False,False,True,False,False
Red Rocket,13.318,13.910821646859095,130.0,6.761,5.60947179518496,2021,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0.893176802420233,37.92563880724551,8.71850009871079,90.042998,2.7020872343581788,1.8885037407137346,False,True,False,False,False
The Farewell,13.308,12.430419472617638,100.0,7.437,7.142036574706803,2019,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0.990884910715765,53.1153260060945,7.445783819625526,98.971596,2.597522244047199,2.097040342174211,False,True,False,False,False
Suck Me Shakespeer,13.304,15.424948670398354,119.0,7.017,7.324489979348532,2013,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8099873105830131,51.395946185088654,7.245075913964113,93.354168,2.7988014392758886,2.11920177024789,False,False,False,True,False
Victor Frankenstein,13.302,17.50439003707821,109.0,5.9,7.543273346705446,2015,11,0,0,0,0,1,0,0,0,0,0,0,1,1,0.7188564428952313,44.50531274556214,5.890494081760654,78.4818,2.918008003234778,2.145144230228531,False,True,False,False,False
Cop Out,13.301,17.216707972959764,107.0,5.6,7.195937226475569,2010,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0.7301538796001744,40.297248468263184,5.873728675830288,74.48559999999999,2.9023391934519456,2.103638571303346,False,True,False,False,False
Homecoming,13.3,14.220976332738882,88.0,5.9,4.890349128221754,2009,7,0,0,0,0,1,0,0,1,0,0,0,0,1,0.8737941449519869,28.85305985650835,5.781495094419161,78.47000000000001,2.722674498387897,1.7733152706473527,False,True,False,False,False
Dinner for Schmucks,13.299,18.049617077054286,114.0,5.7,7.3864708488298945,2010,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6981242691759384,42.1028838383304,5.984372260023835,75.8043,2.9470470004286513,2.1266197941828677,False,True,False,False,False
Precious Cargo,13.299,16.166885910365842,99.0,5.2,5.5053315359323625,2016,7,1,0,0,1,0,0,0,0,0,0,0,0,1,0.7746891352012595,28.627723986848284,5.766916639215331,69.1548,2.842982290397648,1.8726220769889215,False,True,False,False,False
