Receita_Real,Receita_Prevista
5546827.0,48823652.92550378
52223306.0,36879965.77086826
257010000.0,161015667.42813337
42105111.0,68127669.22802824
1817696.0,6567270.853601862
19.0,-5316000.300398486
156822020.0,70661389.10442562
26152835.0,55071958.30148597
30862156.0,23581012.66823391
6266621.0,17470151.12773545
15000000.0,99935466.24682102
18097.0,3797395.1679947283
5100000.0,-4704206.693529073
188133322.0,265598950.37393045
615752.0,24835594.41039626
521918.0,36931117.4251735
25754775.0,109415594.64526682
6401336.0,2467794.997302646
47351251.0,65390452.11964393
77885672.0,250147653.02432275
319700000.0,64861245.37961605
257047661.0,15387411.340672873
4117.0,-4785407.553917283
859102154.0,749450244.1337254
5500000.0,11250389.933991594
7700000.0,5238383.612862648
214015089.0,160240826.77558202
89456761.0,190265088.20327467
70181428.0,67116839.37949793
342463063.0,220730735.03719687
3076820.0,4031355.518841047
3696196.0,-2129848.124575645
305937718.0,55563955.66109602
57470220.0,49479719.366214834
175582093.0,147920650.43855196
2742912.0,48833547.44245615
52424533.0,103014463.9574477
22632255.0,15850161.876183879
34670720.0,37036029.28825325
5578519.0,51931314.75190761
34368475.0,16261054.180169262
553171.0,26272937.906342797
88933562.0,205183490.8565359
150166126.0,295270727.1310414
2080679.0,15375583.216710538
2494480.0,25081997.865894794
27399597.0,8386582.975386454
82499399.0,31572628.957055748
60917189.0,115313214.35374951
9584131.0,31157688.896135308
116019547.0,17092212.381270476
921000.0,-4563216.880734169
743559607.0,596788804.6098975
86865564.0,55250149.55678261
65048678.0,40436238.99921526
61141030.0,30907087.7667782
88215156.0,100110359.3298002
162966177.0,212724486.85663944
115400000.0,46676508.82809674
181096164.0,73289436.7091022
10000000.0,3979904.030688761
8863193.0,36931986.94332992
858250.0,9677084.812424352
164648142.0,175341978.15861487
64197205.0,97107639.34986083
524580592.0,384573414.226019
17600000.0,57881825.15100838
31626978.0,97803283.85838133
133346506.0,79316134.88873616
184925486.0,1947245.7574647535
143101.0,6764764.73736793
22088533.0,22044197.325851593
136400000.0,1465152.4305271422
7300000.0,75829183.24582511
132440069.0,115147316.28618157
14701918.0,7929177.053173589
293671.0,46011237.48828152
3225000.0,2261417.5673790136
11788968.0,9296940.391956137
9138338.0,-2086132.3496770249
1612259.0,-612971.7330215732
203388341.0,199413090.64935285
11902746.0,7341517.254817227
73180723.0,34321809.43593701
2104439.0,33712666.99228792
2750000.0,-1670723.312631988
20311.0,10023482.855911154
35598376.0,249953990.34251875
78636257.0,82017671.76932256
8838757.0,4998977.466684217
128406887.0,145205638.83889818
150406466.0,385704691.26626545
186200000.0,116369229.16302894
84.0,-5230448.734665436
352794081.0,160901000.9399975
5108820.0,37015970.403886184
14842388.0,12817368.561386265
10631333.0,39904153.85425578
3428048.0,24928812.753441397
209947037.0,46512529.69714986
25097277.0,12994362.15574263
846704.0,9793180.47799874
5460628.0,10113851.248409962
5080409.0,36997650.55583196
967000.0,85401330.65192789
5900000.0,459811.3591282666
53977250.0,43049594.74538681
49263404.0,86549274.51871018
30658387.0,25033364.815904696
5642478.0,54949656.07527783
74237563.0,160246043.88452053
11000000.0,15299087.860155314
1020921.0,12790053.697920807
22200000.0,4606166.987003904
2777280.0,24969620.140023716
46236000.0,22134417.330426317
272912430.0,430820929.16127163
6860853.0,15930037.613035679
4500000.0,-360061.88304224424
288885818.0,251888938.09101504
62794894.0,62997689.8878309
1200000.0,-2523315.7054166053
201.0,12873017.723397128
819939.0,-2511040.9771463037
34000000.0,5446648.203017529
326551094.0,101126526.22080784
4166918.0,30826522.4120782
87700000.0,317327581.88538104
346079773.0,161055205.48753083
30718107.0,58215690.139688864
6340723.0,39922803.51954175
5000000.0,359300.3545563156
1448076.0,3872053.7959080096
7266209.0,157035149.26458037
42432803.0,-3202928.703434681
50548152.0,130323695.98143713
30000000.0,70042172.24351595
147748505.0,8011803.690597361
119942387.0,85278878.50879623
65079104.0,190762332.655208
41382841.0,48985623.16967549
41895491.0,67045119.123285666
65090821.0,100064814.56843463
25000000.0,21981352.151511736
18634643.0,96777402.35072955
19693891.0,96996071.17537677
134402450.0,79192063.64283048
30471420.0,7206599.894367976
51132598.0,85731237.83382742
18564613.0,22313478.103879374
3265941.0,30889217.66949454
1338365.0,39899836.24685839
661769.0,9958598.81141142
2340110.0,946301.1645041378
1667192.0,-3119298.002081332
2690000.0,-968778.6261574039
36348784.0,145280027.6163491
779137.0,-2159351.775124508
78.0,24736289.440256186
86468162.0,221999362.0274133
24946533.0,5458851.44059211
37710610.0,14796478.200090569
133511855.0,145600969.76622212
149044513.0,250398553.9875269
46818041.0,90695942.42298777
3537283.0,1054721.0835942682
18900000.0,73176759.14938408
39000000.0,5119109.708509624
93700000.0,65232199.81517553
8821329.0,54974812.1350446
6671108.0,1325501.0308572575
1591000.0,-2664950.385108287
3531971.0,48764225.8570202
46509.0,18833872.390220832
3250000.0,39652863.10705048
28200000.0,10269616.46094735
122801777.0,121942848.41639882
204313400.0,266184166.07658565
204940.0,30969543.157116897
17300889.0,130252035.69199426
50431.0,-2318893.3651351784
13298000.0,54777581.43046083
1198113.0,84863308.79679699
7000000.0,3768101.4011387937
11740000.0,3911631.863717459
18000000.0,4565807.533461576
15368897.0,84890953.47749421
127420861.0,295731781.6376368
159828.0,10225769.546227964
487625.0,7239118.31195624
11800000.0,10568101.055676954
25480.0,-3339020.9394688783
16680836.0,25213115.20720595
165160005.0,597666148.4297249
48138337.0,85069834.35063905
1600000.0,-3110422.92020891
5200000.0,7290073.637384271
